Start Time,Duration,Title,Show,Year
2021-02-03 8:15:40,0:41:49,"Gilmore Girls: Season 7: Knit, People, Knit (Episode 9)",Gilmore Girls,2021
2021-02-03 7:13:36,0:42:41,Gilmore Girls: Season 7: Introducing Lorelai Planetarium (Episode 8),Gilmore Girls,2021
2021-02-03 6:33:55,0:39:40,Gilmore Girls: Season 7: French Twist (Episode 7),Gilmore Girls,2021
2021-02-03 4:30:25,0:40:20,Gilmore Girls: Season 7: French Twist (Episode 7),Gilmore Girls,2021
2021-02-03 3:47:48,0:42:18,Gilmore Girls: Season 7: Go Bulldogs! (Episode 6),Gilmore Girls,2021
2021-02-03 3:47:27,0:00:18,Gilmore Girls: Season 7: The Great Stink (Episode 5),Gilmore Girls,2021
2021-02-03 2:50:41,0:40:57,Gilmore Girls: Season 7: The Great Stink (Episode 5),Gilmore Girls,2021
2021-02-03 0:23:07,0:41:02,"Gilmore Girls: Season 7: 'S Wonderful, 'S Marvelous (Episode 4)",Gilmore Girls,2021
2021-02-02 23:45:10,0:37:51,Gilmore Girls: Season 7: Lorelai's First Cotillion (Episode 3),Gilmore Girls,2021
2021-02-02 20:31:29,0:08:15,Gilmore Girls: Season 7: Lorelai's First Cotillion (Episode 3),Gilmore Girls,2021
2021-02-02 18:40:28,0:42:03,"Gilmore Girls: Season 7: That's What You Get, Folks, For Makin' Whoopie (Episode 2)",Gilmore Girls,2021
2021-02-02 4:50:32,0:41:11,Gilmore Girls: Season 7: The Long Morrow (Episode 1),Gilmore Girls,2021
2021-02-02 4:08:11,0:42:16,Gilmore Girls: Season 6: Partings (Episode 22),Gilmore Girls,2021
2021-02-02 2:15:27,0:43:56,Gilmore Girls: Season 6: Driving Miss Gilmore (Episode 21),Gilmore Girls,2021
2021-02-02 1:37:25,0:37:54,Gilmore Girls: Season 6: Super Cool Party People (Episode 20),Gilmore Girls,2021
2021-02-01 21:57:31,0:05:44,Gilmore Girls: Season 6: Super Cool Party People (Episode 20),Gilmore Girls,2021
2021-02-01 21:37:54,0:19:29,Gilmore Girls: Season 6: I Get a Sidekick out of You (Episode 19),Gilmore Girls,2021
2021-02-01 20:18:00,0:23:59,Gilmore Girls: Season 6: I Get a Sidekick out of You (Episode 19),Gilmore Girls,2021
2021-02-01 19:33:54,0:40:27,Gilmore Girls: Season 6: The Real Paul Anka (Episode 18),Gilmore Girls,2021
2021-02-01 5:30:43,0:42:49,"Gilmore Girls: Season 6: I'm OK, You're OK (Episode 17)",Gilmore Girls,2021
2021-02-01 4:47:34,0:43:08,Gilmore Girls: Season 6: Bridesmaids Revisited (Episode 16),Gilmore Girls,2021
2021-02-01 2:34:17,0:39:26,Gilmore Girls: Season 6: A Vineyard Valentine (Episode 15),Gilmore Girls,2021
2021-02-01 1:46:58,0:42:38,Gilmore Girls: Season 6: You've Been Gilmored (Episode 14),Gilmore Girls,2021
2021-02-01 1:03:26,0:43:25,Gilmore Girls: Season 6: Friday Night's Alright for Fighting (Episode 13),Gilmore Girls,2021
2021-02-01 0:20:22,0:42:56,Gilmore Girls: Season 6: Just Like Gwen and Gavin (Episode 12),Gilmore Girls,2021
2021-01-31 23:36:30,0:43:44,Gilmore Girls: Season 6: The Perfect Dress (Episode 11),Gilmore Girls,2021
2021-01-31 22:53:40,0:42:18,Gilmore Girls: Season 6: He's Slippin' 'Em Bread ... Dig? (Episode 10),Gilmore Girls,2021
2021-01-31 22:10:14,0:43:18,Gilmore Girls: Season 6: The Prodigal Daughter Returns (Episode 9),Gilmore Girls,2021
2021-01-31 21:26:33,0:43:34,Gilmore Girls: Season 6: Let Me Hear Your Balalaikas Ringing Out (Episode 8),Gilmore Girls,2021
2021-01-31 18:29:40,0:42:00,Gilmore Girls: Season 6: Twenty-One is the Loneliest Number (Episode 7),Gilmore Girls,2021
2021-01-31 6:49:46,0:43:00,Gilmore Girls: Season 6: Welcome to the Dollhouse (Episode 6),Gilmore Girls,2021
